state,county,tract,cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc1990,med_hhinc2016,popdensity2000,poor_share2010,poor_share2000,poor_share1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,jobs_total_5mi_2015,jobs_highpay_5mi_2015,popdensity2010,ann_avg_job_growth_2004_2013,job_density_2013
36,5,100,19400,New York,,,0,0.023039155,0.15481462,,,8091.8804,,,,0.070507616,0.55973309,0.3407267,0.000901632,0.60618156,0.085367762,0.26940534,7.82473E-05,3.219661,,,,,,0,,-0.095427305,842270,437146,18181.967,,0
36,5,200,19400,New York,73132.906,42.646252,0.083175801,0.14262757,0.23751751,31632,70893,7742.8774,0.12681329,0.20263453,0.14228053,0.029995386,0.23350254,0.69058609,0.024815336,0.22764456,0.058956277,0.69506347,0.005359662,3.219661,1493,0.45959595,0.19859813,0.43249428,0.12833618,0.52711999,68.099998,-0.06196804,508240,239711,24625,0.071202807,295.45456
36,5,400,19400,New York,67061.484,45.773602,0.11893022,0.25700638,0.19068056,36608.72022,76667,3653.5764,0.12435766,0.12966593,0.09857817,0.034344904,0.24804652,0.68235511,0.018132156,0.22272058,0.052542262,0.6805321,0.024630137,3.219661,1375,0.59404391,0.16561142,0.39259171,0.14707121,0.53287059,70.900002,-0.10324835,436735,199928,15633.522,0.015545871,613.63635
36,5,1600,19400,New York,46536.398,47.726074,0.11118151,0.13270973,0.23268482,22739,31540,10796.18,0.20454545,0.22173479,0.17924528,0.034556087,0.32854864,0.61704767,0.007498393,0.31029215,0.047737256,0.62058431,0.008783654,3.219661,985,0.7207703,0.54213482,0.61559886,0.19979024,0.43560508,74.900002,-0.23369047,465122,217262,30176.469,-0.052250195,2609.6255
36,5,1900,19400,New York,41816.773,49.302856,0.038501561,0.067783698,0.21708684,11954.382,39130,963.70648,0.58263308,0.40524781,0.51221079,0.097548254,0.26186749,0.61867499,0.009177148,0.2973485,0.057449494,0.62310606,0.00820707,3.219661,1178,0.62790698,0.62727273,0.55905509,0.034904014,0.29914531,63.400002,,1365839,845282,3018.8977,0.008183798,7392.126
36,5,2000,19400,New York,37485.074,51.343708,0.061708216,0.1310188,0.16325834,14765,17083,22924.113,0.31999537,0.45929065,0.37574095,0.012827855,0.35517123,0.61401904,0.00795322,0.42710632,0.014336127,0.5447728,0.005072783,3.219661,,0.76171243,0.64910787,0.69375002,0.05671642,0.37847778,74.300003,-0.30556223,517823,247662,57065.359,0.045058347,738.56213
36,5,2300,19400,New York,38560.023,44.232033,0.062551439,0.048172757,0.14515488,7925,16503,41503.223,0.47517872,0.39976773,0.50748271,0.008311372,0.33002231,0.65335494,0.001216298,0.35730752,0.011526049,0.62517291,0.002074689,3.219661,445,0.7403599,0.74579442,0.75932837,0.047930282,0.28500661,74,0.26744816,1573355,997701,123325,-0.11248016,1025
36,5,2400,19400,New York,,,,,,,,0,,,,0,0,1,,,,,,3.219661,,,,,,,,,578980,281682,15.32567,0.14502795,777.77777
36,5,2500,19400,New York,31593.68,38.563763,0.032991201,0.053867403,0.36765301,8246,21060,40033.223,0.50466156,0.4900414,0.52523804,0.014205063,0.1822983,0.7920233,0.004252659,0.19064397,0.007829321,0.79036993,0.005871991,3.219661,731,0.71336555,0.73456788,0.66464341,0.09504132,0.35283893,73.199997,0.021274555,1438414,906469,112061.23,0.03847025,3755.1021
36,5,2701,19400,New York,34433.266,46.160355,0.10502283,0.12667479,0.14005877,8128,18409,36480.637,0.53302664,0.53058511,0.57989347,0.008994539,0.32412463,0.65852875,0.001606168,0.34058687,0.004615892,0.64853281,0.002307946,3.219661,,0.87643677,0.7647059,0.70353985,0.097619049,0.25163564,74.199997,0.22923362,1413657,887295,97281.242,0.023641285,1812.4999
